Id2_2000,Median household income in 1999
42101000100,48886.0
42101000200,8349.0
42101000300,40625.0
42101000400,27400.0
42101000500,9620.0
42101000600,41563.0
42101000700,34536.0
42101000800,42346.0
42101000900,20725.0
42101001000,72625.0
42101001100,36564.0
42101001200,42000.0
42101001300,24508.0
42101001400,26897.0
42101001500,38026.0
42101001600,50598.0
42101001700,48889.0
42101001800,36458.0
42101001900,21766.0
42101002000,19240.0
42101002100,21875.0
42101002200,30156.0
42101002300,29806.0
42101002400,34247.0
42101002500,26250.0
42101002600,0.0
42101002700,23750.0
42101002800,22759.0
42101002900,26744.0
42101003000,20294.0
42101003100,18156.0
42101003200,17711.0
42101003300,25978.0
42101003400,20500.0
42101003500,24722.0
42101003600,13860.0
42101003701,26010.0
42101003702,26550.0
42101003800,36591.0
42101003901,26347.0
42101003902,36472.0
42101004001,25854.0
42101004002,31045.0
42101004101,20759.0
42101004102,22819.0
42101004201,32564.0
42101004202,34313.0
42101004300,0.0
42101004400,28024.0
42101004500,36335.0
42101004600,8333.0
42101004700,44080.0
42101004800,30455.0
42101004900,0.0
42101005000,0.0
42101005100,28417.0
42101005200,0.0
42101005400,40577.0
42101005500,40634.0
42101005600,21801.0
42101005700,0.0
42101005800,0.0
42101005900,0.0
42101006000,31250.0
42101006100,33462.0
42101006200,28750.0
42101006300,21320.0
42101006400,27849.0
42101006500,28036.0
42101006600,18185.0
42101006700,22670.0
42101006800,0.0
42101006900,13569.0
42101007000,21821.0
42101007100,26790.0
42101007200,26955.0
42101007300,25778.0
42101007400,17604.0
42101007500,0.0
42101007600,75487.0
42101007700,14628.0
42101007800,28885.0
42101007900,32380.0
42101008000,28366.0
42101008100,24455.0
42101008200,29041.0
42101008301,24800.0
42101008302,24567.0
42101008400,26341.0
42101008500,22077.0
42101008600,19612.0
42101008700,21131.0
42101008800,9320.0
42101008900,6311.0
42101009000,13792.0
42101009100,17500.0
42101009200,20083.0
42101009300,21503.0
42101009400,17743.0
42101009500,21058.0
42101009600,23171.0
42101009700,36094.0
42101009800,39849.0
42101009900,106723.0
42101010000,31415.0
42101010100,28811.0
42101010200,20634.0
42101010300,24405.0
42101010400,21772.0
42101010500,12794.0
42101010600,15952.0
42101010700,15417.0
42101010800,17310.0
42101010900,13367.0
42101011000,19464.0
42101011100,22765.0
42101011200,24521.0
42101011300,34353.0
42101011400,28012.0
42101011500,39473.0
42101011600,35000.0
42101011700,53047.0
42101011800,41044.0
42101011900,28507.0
42101012000,44954.0
42101012100,32925.0
42101012200,28861.0
42101012300,0.0
42101012400,0.0
42101012500,34614.0
42101012600,31838.0
42101012700,7500.0
42101012800,39643.0
42101012900,41000.0
42101013000,35625.0
42101013100,19023.0
42101013200,14375.0
42101013300,29352.0
42101013400,41536.0
42101013500,31386.0
42101013600,46250.0
42101013700,23806.0
42101013800,17480.0
42101013900,12703.0
42101014000,13458.0
42101014100,12165.0
42101014200,30862.0
42101014300,40293.0
42101014400,23720.0
42101014500,12092.0
42101014600,26295.0
42101014700,16411.0
42101014800,10643.0
42101014900,21463.0
42101015000,9643.0
42101015100,13070.0
42101015200,18153.0
42101015300,14826.0
42101015400,31923.0
42101015500,12333.0
42101015600,14524.0
42101015700,22478.0
42101015800,31862.0
42101015900,28871.0
42101016000,29621.0
42101016100,19098.0
42101016200,13833.0
42101016300,15865.0
42101016400,12314.0
42101016500,16964.0
42101016600,14250.0
42101016700,16367.0
42101016800,19770.0
42101016901,14558.0
42101016902,17051.0
42101017000,34120.0
42101017100,22043.0
42101017200,20669.0
42101017300,21731.0
42101017400,15050.0
42101017500,14294.0
42101017601,11909.0
42101017602,12076.0
42101017700,15687.0
42101017800,14793.0
42101017900,26021.0
42101018000,30866.0
42101018100,18571.0
42101018200,26331.0
42101018300,32820.0
42101018400,33065.0
42101018500,41875.0
42101018600,28531.0
42101018700,30950.0
42101018800,22489.0
42101018900,24032.0
42101019000,24650.0
42101019100,31902.0
42101019200,19375.0
42101019300,26563.0
42101019400,13929.0
42101019500,15097.0
42101019600,15710.0
42101019700,19877.0
42101019800,20692.0
42101019900,16780.0
42101020000,22786.0
42101020100,20436.0
42101020200,20709.0
42101020300,23277.0
42101020400,29814.0
42101020500,16213.0
42101020600,30083.0
42101020700,42004.0
42101020800,44067.0
42101020900,41424.0
42101021000,41191.0
42101021100,45130.0
42101021200,37234.0
42101021300,39746.0
42101021400,40746.0
42101021500,45464.0
42101021600,39006.0
42101021700,48448.0
42101021800,40333.0
42101021900,58795.0
42101022000,47404.0
42101022100,50296.0
42101022200,70000.0
42101022300,60357.0
42101022400,87500.0
42101022500,84543.0
42101022600,119036.0
42101022700,65278.0
42101022800,62750.0
42101023000,49625.0
42101023100,90198.0
42101023200,62143.0
42101023300,47786.0
42101023400,118946.0
42101023500,71827.0
42101023600,65060.0
42101023700,42917.0
42101023800,31052.0
42101023900,21500.0
42101024000,29137.0
42101024100,12177.0
42101024200,26569.0
42101024300,27951.0
42101024400,28036.0
42101024500,25517.0
42101024600,20887.0
42101024700,25377.0
42101024800,32174.0
42101024900,26528.0
42101025000,29125.0
42101025100,45893.0
42101025200,28925.0
42101025300,32394.0
42101025400,39435.0
42101025500,50699.0
42101025600,58542.0
42101025700,46768.0
42101025800,42407.0
42101025900,38520.0
42101026000,45764.0
42101026100,39018.0
42101026200,43935.0
42101026301,48358.0
42101026302,38444.0
42101026400,42163.0
42101026500,33878.0
42101026600,36226.0
42101026700,33602.0
42101026800,29839.0
42101026900,50179.0
42101027000,39712.0
42101027100,38477.0
42101027200,40652.0
42101027300,29566.0
42101027400,32885.0
42101027500,33953.0
42101027600,31316.0
42101027700,23698.0
42101027800,25690.0
42101027900,26524.0
42101028000,28281.0
42101028100,36129.0
42101028200,29142.0
42101028300,24725.0
42101028400,29143.0
42101028500,34054.0
42101028600,27648.0
42101028700,21944.0
42101028800,22346.0
42101028900,26053.0
42101029000,34676.0
42101029100,31201.0
42101029200,34259.0
42101029300,19205.0
42101029400,21288.0
42101029500,27689.0
42101029600,31167.0
42101029700,23214.0
42101029800,27234.0
42101029900,21317.0
42101030000,23876.0
42101030100,32224.0
42101030200,39072.0
42101030300,29492.0
42101030400,31685.0
42101030500,35448.0
42101030600,36729.0
42101030700,31649.0
42101030800,47311.0
42101030900,39177.0
42101031000,41412.0
42101031100,39399.0
42101031200,38722.0
42101031300,35404.0
42101031400,34048.0
42101031500,37838.0
42101031600,41036.0
42101031700,37429.0
42101031800,34040.0
42101031900,38068.0
42101032000,34421.0
42101032100,28341.0
42101032200,31250.0
42101032300,32634.0
42101032400,41250.0
42101032500,32255.0
42101032600,37153.0
42101032700,22857.0
42101032800,56250.0
42101032900,33958.0
42101033000,33685.0
42101033100,37656.0
42101033200,46063.0
42101033300,34947.0
42101033400,34267.0
42101033500,41228.0
42101033600,35471.0
42101033700,35000.0
42101033800,35080.0
42101033900,36659.0
42101034000,43576.0
42101034100,37236.0
42101034200,44196.0
42101034300,68750.0
42101034400,59171.0
42101034500,31049.0
42101034600,28229.0
42101034701,42064.0
42101034702,43224.0
42101034801,37273.0
42101034802,39528.0
42101034803,41037.0
42101034900,31002.0
42101035100,38781.0
42101035200,49028.0
42101035301,47303.0
42101035302,42866.0
42101035400,0.0
42101035500,38438.0
42101035600,40183.0
42101035700,34047.0
42101035800,54449.0
42101035900,43582.0
42101036000,45539.0
42101036100,51513.0
42101036201,46433.0
42101036202,57664.0
42101036203,51250.0
42101036301,60160.0
42101036302,47995.0
42101036303,53614.0
42101036400,51250.0
42101036500,50447.0
42101036600,87027.0
